Id,PC1,PC2,PC3,label
GLY60_M62_O1_1014,-4.017879679,34.33302854,0.15210104,GLY60
GLY60_M57_O1_1014,-1.237502323,34.12582555,-0.348250707,GLY60
GLY40_M72_O1_1007,-30.49056806,10.27822048,-12.81379717,GLY40
AGUA_M95_O1_0930,-41.50098573,-36.92178682,1.888213242,WATER
GLY50_M19_O1_1010,-20.75105108,21.13268321,-8.797382771,GLY50
AIRE_M48_O1_1005,172.8840541,-37.31491895,-4.475233815,AIR
GLY50_M88_O1_1013,-19.42927425,31.08445383,-4.729816066,GLY50
GLY40_M99_O1_1007,-36.53873726,7.985924688,-10.17394808,GLY40
GLY60_M60_O1_1014,-7.57192543,34.05371699,0.457504186,GLY60
GLY60_M8_O1_1013,-2.089159112,33.71387605,-1.645486069,GLY60
GLY40_M6_O1_1006,-35.31284333,8.864491369,-9.721903767,GLY40
GLY40_M85_O1_1007,-41.37066534,7.942505956,-7.536826848,GLY40
GLY30_M35_O1_1004,-42.16598582,-8.635099353,-6.727911045,GLY30
AIRE_M85_O1_1017,169.6344789,-34.46339135,-2.624531238,AIR
GLY40_M68_O1_1007,-29.31534931,10.81793676,-12.75203824,GLY40
GLY40_M64_O1_1007,-47.03318045,8.921392436,-4.079283416,GLY40
GLY80_M52_O1_1021,82.61015315,14.63302566,-0.280830749,GLY80
GLY50_M54_O1_1010,-13.52450025,24.76821873,-8.447831603,GLY50
